time;NSC_res;NSC_G;NSC_PC;Liver_res;Liver_G;Liver_PC;Liver_res2;Pancreas_res;Pancreas_G;Pancreas_PC;Beta_res;Beta_res2;Beta_G;Beta_PC;Alpha_res;Alpha_G;Alpha_PC;Surrenal_res;Surrenal_G;Surrenal_PC;Glucose;Glycogene;AcidesGras;AcidesAmines;AcetylCoA;Pyruvate;ATP;AMPK;Cortisol;Insulin;Glucagon
0.0;0.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.0;0.0;0.0;100.0;1.0;1.0;1000.0;0;0.0;0.0;0.0
1.0;0.0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;35.0;0.0;0.0;100.0;11.0;1.0;940.0;1;3.7040911034085893;0.0;3.7040911034085893
2.0;0.0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;1;1;0;40.0;0.0;0.0;95.0;11.0;1.0;860.0;1;2.744058180470132;0.0;2.744058180470132
3.0;0.0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;45.0;0.0;0.0;90.0;11.0;1.0;780.0;1;2.0328482987029957;0.0;5.7369394021115845
4.0;0.0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;50.0;0.0;0.0;85.0;11.0;1.0;700.0;1;1.5059710595610105;0.0;7.954120343439731
5.0;0.0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;45.0;0.0;0.0;85.0;0.6000000000000014;1.0;844.0;0;1.1156508007421493;0.0;9.596648383323865
6.0;0.0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;40.0;0.0;0.0;85.0;10.600000000000001;1.0;784.0;1;0.8264944411079328;0.0;10.81346308325066
7.0;1.0;1;0;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;35.0;0.0;0.0;85.0;0.20000000000000284;1.0;928.0;0;5.826494441107933;0.0;15.81346308325066
8.0;1.0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;1;1;1;40.0;0.0;0.0;80.0;0.20000000000000284;1.0;848.0;0;4.316373244673499;0.0;11.714901584149786
9.0;1.0;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;1;1;69.0;4.800000000000001;0.30000000000000004;85.0;0.20000000000000284;1.0;768.0;1;3.197647946917195;0.0;12.382703650439872
10.0;1.0;1;1;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;1;74.0;4.800000000000001;0.30000000000000004;80.0;0.20000000000000284;1.0;688.0;1;2.3688758624017443;3.3336819930677306;9.173332485547878
11.0;1.0;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;68.0;5.800000000000001;1.1;80.0;0.7000000000000028;1.0;652.4;1;1.7549064014003302;5.80333435549085;6.795771849665379
12.0;1.0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;62.0;6.800000000000001;1.9000000000000001;80.0;1.2000000000000028;1.0;616.8;1;1.3000666377483492;8.744125155346124;5.034431609828013
13.0;1.0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;80.0;12.600000000000001;2.2;90.0;5.200000000000003;1.0;615.8;1;0.9631130533443956;16.922716563092074;3.729598667336585
14.0;1.0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;74.0;13.600000000000001;3.0;90.0;2.8000000000000025;1.0;609.1999999999999;1;0.7134916984939316;18.536656773370908;2.762954648593195
15.0;1.0;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;68.0;14.600000000000001;3.8;90.0;0.40000000000000213;1.0;602.5999999999999;1;0.5285676505494511;19.73229308823635;2.0468471465950917
16.0;1.0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;62.0;15.600000000000001;3.8;90.0;4.400000000000002;1.0;601.5999999999999;1;0.3915725463899604;19.618042255597413;1.5163416611480272
17.0;1.0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;1;56.0;16.6;4.6;90.0;2.0000000000000018;1.0;594.9999999999999;1;0.2900840770844199;14.533403157050431;6.1233335313572415
18.0;1.0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;0;0;1;50.0;17.6;4.6;90.0;6.000000000000002;1.0;593.9999999999999;1;0.21489956983377825;10.766609867256161;9.536277051340772
19.0;0.0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;1;0;0;1;44.0;18.6;5.3999999999999995;90.0;3.5999999999999996;1.0;587.3999999999999;1;0.15920151694952617;7.976100764634936;12.06464779710217
20.0;0.0;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;1;0;0;1;62.0;24.400000000000002;6.499999999999999;100.0;1.1999999999999993;1.0;580.7999999999998;1;0.11793938451637832;9.908840776434943;8.937710914200837
21.0;0.0;0;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;0;1;56.0;25.400000000000002;6.499999999999999;100.0;5.199999999999999;1.0;579.7999999999998;1;0.08737164498572034;7.340649793016986;11.621219096425834
22.0;0.0;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;1;0;0;0;50.0;26.400000000000002;7.299999999999999;100.0;2.799999999999999;1.0;573.1999999999998;1;0.06472650657635608;5.438087118310464;13.609210853166587
23.0;0.0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;52.0;19.400000000000002;5.699999999999999;100.0;18.4;1.0;513.1999999999998;1;0.0;4.028634022898928;15.081951369125195
24.0;0.0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;54.0;12.400000000000002;4.1;100.0;3.6000000000000014;1.0;757.1999999999998;0;0.0;2.9844854886218153;16.172984377683527
25.0;0.0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;56.0;5.400000000000002;2.4999999999999996;100.0;19.200000000000003;1.0;697.1999999999998;0;0.0;2.2109612293312204;16.98124150978873
