time;NSC_res;NSC_G;NSC_PC;Liver_res;Liver_G;Liver_PC;Liver_res2;Pancreas_res;Pancreas_G;Pancreas_PC;Beta_res;Beta_res2;Beta_G;Beta_PC;Alpha_res;Alpha_G;Alpha_PC;Surrenal_res;Surrenal_G;Surrenal_PC;Glucose;Glycogene;AcidesGras;AcidesAmines;AcetylCoA;Pyruvate;ATP;AMPK;Cortisol;Insulin;Glucagon
200.0;1.0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;39.0;2.200000000000017;0.8000000000000034;195.0;10.400000000000112;1.0;2661.400000000005;0;5.724074641939361;0.8231540244954781;6.923876624842639
201.0;1.0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;68.0;7.000000000000018;1.1000000000000034;200.0;10.400000000000112;1.0;2581.400000000005;0;4.240498791290859;4.609807499773735;5.129333961435662
202.0;1.0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1;1;1;0;73.0;7.000000000000018;1.1000000000000034;195.0;10.400000000000112;1.0;2501.400000000005;1;3.1414387693670696;7.415029389667617;3.799904058593074
203.0;1.0;0;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;1;1;0;78.0;7.000000000000018;1.1000000000000034;190.0;10.400000000000112;1.0;2421.400000000005;1;2.327235079503078;9.493188878756207;2.8150381634481594
204.0;1.0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0;72.0;8.000000000000018;1.9000000000000035;190.0;10.90000000000011;1.0;2385.800000000005;1;1.7240581507055464;11.032727293755645;2.085431563396796
205.0;1.0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0;90.0;13.800000000000018;3.0000000000000036;200.0;11.40000000000011;1.0;2350.2000000000053;1;1.2772136915574959;12.173245403026682;1.5449257001491077
206.0;1.0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;84.0;14.800000000000018;3.8000000000000034;200.0;11.90000000000011;1.0;2314.6000000000054;1;0.9461831744099525;13.018161999392127;1.1445091082699193
207.0;1.0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0;78.0;15.800000000000018;4.600000000000003;200.0;12.40000000000011;1.0;2279.0000000000055;1;0.7009497357053606;13.64409160893603;0.8478732011425412
208.0;1.0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;1;1;72.0;16.80000000000002;5.400000000000003;200.0;12.90000000000011;1.0;2243.4000000000055;1;0.5192763359925656;14.107791668550346;0.6281199162341297
209.0;1.0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;1;1;66.0;17.80000000000002;6.200000000000003;200.0;13.40000000000011;1.0;2207.8000000000056;1;0.3846893712721344;14.451309121643831;0.4653226787193176
