time;NSC_res;NSC_G;NSC_PC;Liver_res;Liver_G;Liver_PC;Liver_res2;Pancreas_res;Pancreas_G;Pancreas_PC;Beta_res;Beta_res2;Beta_G;Beta_PC;Alpha_res;Alpha_G;Alpha_PC;Surrenal_res;Surrenal_G;Surrenal_PC;Glucose;Glycogene;AcidesGras;AcidesAmines;AcetylCoA;Pyruvate;ATP;AMPK;Cortisol;Insulin;Glucagon
0.0;0.0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;40.0;0.0;0.0;100.0;1.0;1.0;1000.0;0;0.0;0.0;0.0
1.0;0.0;1;0;0;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;35.0;0.0;0.0;100.0;11.0;1.0;940.0;1;0.0;0.0;3.7040911034085893
2.0;0.0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;40.0;0.0;0.0;95.0;11.0;1.0;860.0;1;3.7040911034085893;0.0;7.744058180470132
3.0;0.0;1;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;1;0;45.0;0.0;0.0;90.0;11.0;1.0;780.0;1;2.744058180470132;0.0;10.736939402111584
4.0;0.0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;50.0;0.0;0.0;85.0;11.0;1.0;700.0;1;2.0328482987029957;0.0;12.954120343439731
5.0;0.0;1;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;1;0;55.0;0.0;0.0;80.0;11.0;1.0;620.0;1;1.5059710595610105;0.0;14.596648383323865
6.0;0.0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;50.0;0.0;0.0;80.0;0.6000000000000014;1.0;764.0;1;1.1156508007421493;0.0;14.51755418665925
7.0;1.0;1;0;0;1;0;1;0;1;0;0;0;1;1;1;1;1;0;1;0;45.0;0.0;0.0;80.0;10.600000000000001;1.0;704.0;1;0.8264944411079328;0.0;14.829368874960778
8.0;1.0;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;64.0;4.800000000000001;0.30000000000000004;90.0;0.20000000000000284;1.0;848.0;0;0.6122821412649097;6.0;15.06036687753074
9.0;1.0;1;1;0;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;1;58.0;5.800000000000001;0.30000000000000004;90.0;4.200000000000003;1.0;847.0;0;0.4535897664470626;4.4449093240903075;15.231494406775651
10.0;1.0;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;1;1;53.0;5.800000000000001;0.30000000000000004;90.0;14.200000000000003;1.0;787.0;0;0.3360275636987489;3.292869816564159;15.358268798500525
11.0;1.0;1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;48.0;5.800000000000001;0.30000000000000004;90.0;24.200000000000003;1.0;727.0;1;0.24893534183931978;2.439417958443595;15.452185577806153
12.0;1.0;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;1;0;1;1;67.0;10.600000000000001;0.6000000000000001;100.0;3.8000000000000043;1.0;971.0;0;0.1844158370062001;7.807165271473213;15.521760839143507
13.0;1.0;1;1;0;1;1;0;1;1;1;1;1;0;1;0;0;1;0;1;1;61.0;11.600000000000001;1.4000000000000001;100.0;1.400000000000004;1.0;964.4000000000001;0;0.13661861223646285;10.783690284980887;11.498803246701462
14.0;1.0;1;1;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;55.0;12.600000000000001;1.4000000000000001;100.0;5.400000000000004;1.0;963.4000000000001;0;0.10120955722902197;7.988754249302268;12.222614064599128
15.0;1.0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;1;49.0;13.600000000000001;2.2;100.0;3.0000000000000036;1.0;956.8000000000002;0;0.07497788410238855;5.918214708431619;12.758826306824254
16.0;1.0;0;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;1;43.0;14.600000000000001;3.0;100.0;0.6000000000000032;1.0;950.2000000000002;0;0.055544982691211546;4.384321289912684;13.156062106017227
17.0;1.0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;45.0;7.600000000000001;1.4;100.0;16.200000000000003;1.0;890.2000000000002;1;0.0;3.2479850968900887;13.450341623966446
18.0;1.0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;47.0;0.6000000000000014;1.4;100.0;26.200000000000003;1.0;830.2000000000002;1;0.0;2.4061665402788526;13.66834925283666
19.0;0.0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;66.0;5.400000000000002;1.7;110.0;5.800000000000004;1.0;1074.2000000000003;0;0.0;1.7825320150332646;13.829853276551331
20.0;0.0;0;1;0;0;1;0;1;0;1;1;0;0;1;0;0;1;0;0;1;61.0;5.400000000000002;0.09999999999999987;110.0;21.400000000000006;1.0;1014.2000000000003;0;0.0;4.283805078412012;10.245407296623982
21.0;0.0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;56.0;5.400000000000002;0.09999999999999987;110.0;1.000000000000007;1.0;1258.2000000000003;0;0.0;3.1735208559364936;11.294075507053057
